links,type,state,creation date,updated date,closed date,comment count,user count
https://api.github.com/repos/containous/traefik/issues/4958,issue,closed,2019-06-14T12:56:28Z,2019-09-01T00:54:17Z,2019-06-14T13:35:11Z,1,1
https://api.github.com/repos/expressjs/express/issues/1589,pr,closed,2013-04-23T17:32:28Z,2014-07-31T04:49:01Z,2013-04-25T23:29:39Z,0,0
https://api.github.com/repos/rapid7/metasploit-framework/issues/3393,pr,closed,2014-05-25T20:35:34Z,2014-05-27T12:40:36Z,2014-05-26T17:51:21Z,1,1
https://api.github.com/repos/discourse/discourse/issues/8612,pr,closed,2019-12-22T20:04:44Z,2019-12-23T18:24:43Z,2019-12-23T18:24:42Z,2,1
https://api.github.com/repos/jumpserver/jumpserver/issues/4131,issue,open,2020-06-22T07:51:54Z,2020-06-30T09:00:21Z,,3,1
https://api.github.com/repos/drone/drone/issues/1859,pr,closed,2016-11-17T13:07:05Z,2017-07-17T04:24:30Z,2017-07-17T04:24:29Z,6,2
https://api.github.com/repos/Kong/kong/issues/3832,issue,closed,2018-10-05T17:04:05Z,2018-12-03T21:04:33Z,2018-12-03T21:04:33Z,0,0
https://api.github.com/repos/AFNetworking/AFNetworking/issues/3264,issue,closed,2016-01-05T08:21:37Z,2016-01-13T15:41:37Z,2016-01-13T15:41:37Z,3,3
https://api.github.com/repos/ansible/ansible/issues/63511,issue,closed,2019-10-15T13:49:53Z,2019-11-13T20:01:52Z,2019-10-15T18:17:43Z,2,2
https://api.github.com/repos/matomo-org/matomo/issues/3995,issue,closed,2013-06-08T00:43:11Z,2014-07-08T10:12:52Z,2013-09-23T12:35:31Z,2,0
https://api.github.com/repos/netdata/netdata/issues/4801,pr,closed,2018-11-30T14:04:52Z,2018-12-18T01:25:48Z,2018-11-30T14:41:48Z,0,0
https://api.github.com/repos/Kong/kong/issues/1304,issue,closed,2016-06-10T06:38:42Z,2016-10-07T02:53:57Z,2016-06-29T18:13:31Z,13,3
https://api.github.com/repos/ytdl-org/youtube-dl/issues/22700,issue,open,2019-10-13T22:15:12Z,2019-10-13T22:38:25Z,,3,1
https://api.github.com/repos/dotnet/core/issues/1947,issue,closed,2018-09-18T23:44:52Z,2018-09-19T16:35:15Z,2018-09-19T16:35:15Z,2,2
