id,score
"657","34"
"6847","11"
"8318","10"
"14350","2"
"14617","228"
"16003","2"
"19956","2"
"20841","5"
"22880","124"
"23961","3"
"23988","2"
"24468","11"
"24723","24"
"31865","1"
"32369","425"
"32991","2"
"34708","14"
"38779","6"
"40853","31"
"45093","7"
"46415","2"
"47323","11"
"49455","3"
"51124","5"
"52239","11"
"52830","1"
"53728","65"
"55862","21"
"57384","4"
"57800","3"
"64432","3"
"68792","8"
"70450","47"
"75057","44"
"77686","0"
"87365","18"
"95852","1"
"99999","8"
"108518","32"
"109293","8"
"111576","26"
"117352","4"
"117920","0"
"118463","11"
"120206","3"
"120380","11"
"121490","3"
"123159","0"
"138311","19"
"139046","3"
"139053","5"
"141427","5"
"143632","6"
"144696","17"
"148059","24"
"157938","129"
"162296","0"
"166411","2"
"166639","4"
"177331","1"
"183656","10"
"184328","35"
"188114","3"
"188835","4"
"194358","2"
"196150","5"
"197268","3"
"197388","8"
"197835","0"
"198071","4"
"198803","2"
"199017","17"
"201863","4"
"202011","709"
"205070","36"
"205468","2"
"205668","2"
"210832","2"
"211385","3"
"211941","0"
"212510","62"
"212858","2"
"213380","99"
"215302","4"
"215306","19"
"216324","3"
"223480","31"
"226316","1"
"228138","16"
"232484","0"
"232990","0"
"235759","6"
"241040","6"
"242648","2"
"246822","3"
"248789","1"
"252180","27"
"254980","3"
"255723","18"
"258721","13"
"259372","0"
"261202","0"
"262145","3"
"263367","8"
"263818","3"
"265305","-1"
"267451","5"
"267607","8"
"269713","6"
"270453","7"
"273165","19"
"273396","29"
"276132","0"
"276177","1"
"277695","3"
"278273","3"
"279693","0"
"281843","2"
"290460","0"
"291102","1"
"291744","0"
"295156","26"
"295910","1"
"296193","2"
"297136","8"
"299826","5"
"303096","4"
"304658","2"
"306489","2"
"307448","1"
"309497","7"
"310476","1"
"312254","0"
"315240","5"
"317175","7"
"317788","5"
"319508","3"
"327097","8"
"333812","1"
"337663","3"
"340568","10"
"341585","0"
"342378","52"
"343995","7"
"344314","1"
"344774","1"
"347056","5"
"347948","8"
"348090","1"
"350588","2"
"353799","10"
"354021","0"
"354323","3"
"355632","0"
"360520","142"
"362948","2"
"365158","0"
"367180","12"
"372980","76"
"373761","2"
"375524","20"
"380336","8"
"382464","25"
"384489","20"
"384725","0"
"387104","5"
"390677","1"
"390908","0"
"395045","12"
"402705","3"
"403394","2"
"404806","16"
"409725","1"
"410253","1"
"413677","5"
"421458","7"
"426294","3"
"432753","2"
"434776","1"
"435408","0"
"437962","5"
"442443","20"
"444698","13"
"454771","2"
"456109","24"
"457471","7"
"460519","19"
"461120","1"
"461886","2"
"465997","2"
"473531","0"
"473687","66"
"475216","8"
"476701","0"
"477649","8"
"478251","6"
"478455","0"
"481098","3"
"481845","13"
"482341","4"
"483197","2"
"485866","1"
"487739","0"
"488637","1"
"489119","46"
"491109","0"
"493531","1"
"495392","7"
"498521","13"
"500586","1"
"503666","5"
"507124","2"
"507753","1"
"508538","1"
"512174","21"
"519872","2"
"521101","68"
"522778","5"
"523629","12"
