id,score
"5078","21"
"8451","14"
"8472","317"
"17670","2"
"18290","50"
"29346","9"
"30800","1"
"32412","9"
"32964","11"
"33104","9"
"38875","23"
"42833","26"
"50769","16"
"51283","28"
"52256","2"
"52646","20"
"54096","14"
"54889","7"
"54991","231"
"55218","12"
"55296","13"
"59926","6"
"64059","23"
"64208","7"
"72304","2"
"78599","1"
"86090","16"
"86513","541"
"87371","0"
"88311","756"
"90413","19"
"92456","6"
"96945","3"
"102425","7"
"103177","0"
"104592","18"
"109997","90"
"110123","1"
"111248","8"
"116684","21"
"127638","0"
"128028","4"
"129677","1137"
"135600","8"
"136065","0"
"136798","11"
"137392","1"
"141428","3"
"141484","24"
"146839","3"
"149848","35"
"154430","18"
"155220","4"
"155751","2"
"164268","6"
"167252","1"
"168946","32"
"169334","3"
"170115","0"
"170606","5"
"171237","5"
"174387","6"
"176338","3"
"177804","0"
"178210","3"
"185210","4"
"186106","0"
"187655","617"
"190198","5"
"192268","8"
"192811","2"
"196776","2"
"197357","0"
"201796","3"
"204787","0"
"205923","59"
"207819","8"
"209927","3"
"210296","5"
"214850","3"
"215131","2"
"217547","1"
"220077","5"
"223800","21"
"225496","3"
"225838","11"
"229624","7"
"232584","3"
"233217","149"
"234253","0"
"234871","2"
"234872","2"
"239063","4"
"239463","6"
"239979","2"
"241282","3"
"243646","66"
"243957","19"
"244152","0"
"244882","512"
"249540","8"
"249567","10"
"253673","4"
"254935","25"
"256172","38"
"257015","0"
"258625","9"
"259663","1"
"262023","0"
"262531","1"
"262554","1"
"270625","0"
"273496","2"
"273803","2"
"277881","8"
"281891","6"
"284500","3"
"286750","3"
"286871","11"
"289077","3"
"290405","17"
"291941","2"
"292993","8"
"295566","78"
"295973","1"
"301855","0"
"303149","49"
"304495","0"
"306830","8"
"307047","1"
"308501","3"
"310929","1"
"317652","7"
"318475","4"
"322607","9"
"323067","9"
"326699","142"
"330207","90"
"330299","2"
"331901","0"
"332365","1103"
"333532","23"
"334776","10"
"339004","14"
"339312","9"
"339603","37"
"340129","0"
"340820","6"
"340984","5"
"341290","21"
"351354","4"
"351873","5"
"353609","0"
"354161","1"
"355883","1"
"358772","1"
"367870","3"
"369981","12"
"376519","0"
"377901","5"
"379276","8"
"379941","2"
"380895","4"
"381042","4"
"384451","6"
"393580","16"
"394214","7"
"406358","2"
"409782","1"
"424210","52"
"426888","10"
"430599","2"
"434404","0"
"436715","5"
"436760","0"
"437061","63"
"443151","11"
"443487","2"
"444248","5"
"444395","0"
"449922","1"
"450732","2"
"451288","2"
"453908","6"
"454048","302"
"456837","0"
"458481","0"
"459175","3"
"462865","3"
"463832","17"
"464511","2"
"466748","4"
"467117","2"
"467150","1"
"469733","3"
"470531","1"
"473806","1"
"476640","3"
"477930","7"
"479499","5"
"490881","3"
"496255","9"
"499062","0"
"503469","2"
"507591","0"
"511907","6"
"513330","3"
"523001","0"
"526438","5"
"527768","12"
"528858","157"
"530972","1"
"537930","7"
"539463","8"
"540161","4"
"541219","9"
"543096","-2"
"547219","18"
"547501","1"
"547545","0"
"562250","0"
"562350","46"
"566996","11"
"570160","18"
"570944","0"
"571081","4"
"578313","3"
"578588","6"
"579850","0"
"584050","3"
"585891","0"
"587357","16"
"587896","1"
"591794","4"
"595873","0"
"597188","113"
"604175","3"
"604924","3"
"605498","1"
"606686","3"
"608387","4"
"610080","3"
"610229","1"
"611808","7"
"613619","5"
"617782","9"
"618777","1"
"619880","0"
"619921","13"
"621649","7"
"622978","1"
"623159","2"
"623955","5"
"626043","0"
"628416","83"
"632167","27"
"633109","5"
"633384","27"
"634100","0"
"636248","2"
"638621","0"
"639935","3"
"645509","5"
"646086","21"
"646531","2"
"648307","0"
"649141","17"
"650979","2"
"651902","3"
"652916","132"
"653304","0"
"659657","0"
"661084","24"
"662677","1"
"667147","26"
"667192","2"
"674751","8"
"675823","-1"
"678400","11"
"679756","6"
"681231","1"
"693270","10"
"698700","25"
"698720","2"
"701580","11"
"702421","50"
"703704","0"
"704831","2"
"707072","0"
"707587","10"
"707785","1"
"708441","0"
"709456","5"
"712504","10"
"714704","0"
"715634","1"
"721895","4"
"725625","2"
"725875","14"
"726662","7"
"730206","3"
"732561","27"
"733971","2"
"735193","0"
"735405","3"
"738500","6"
"742730","2"
"746193","0"
"746347","10"
"746816","1"
"749618","0"
"752276","1"
"753719","3"
"756850","6"
"757318","13"
"758823","1"
"759800","2"
"761313","9"
"761889","1"
"762459","16"
"764564","0"
"770900","9"
"771069","8"
"771466","0"
"771535","1"
"772502","2"
"772888","0"
"773912","0"
"774615","0"
"774627","0"
"778991","0"
"781690","0"
"782930","1"
"787471","5"
"788459","4"
"788808","20"
"792764","21"
"799325","3"
"804130","2"
"804456","25"
"805324","7"
"807447","1"
"809602","1"
"811988","0"
"815985","2"
"817905","2"
"819765","4"
"821579","7"
"824688","0"
"825709","2"
"827518","3"
"833786","3"
"833835","4"
"835012","0"
"835826","7"
"836459","6"
"839499","4"
"840279","16"
"843317","6"
"846314","1"
"846460","7"
"847306","7"
"849987","3"
"850256","1"
"853266","5"
"853861","2"
"856912","23"
"859652","4"
"867171","10"
"869470","0"
"871388","10"
"875983","2"
"876557","10"
"878430","1"
"879321","1"
"883986","0"
"884209","2"
"884927","3"
"885300","12"
"885485","27"
"885532","38"
"888473","1"
"890085","11"
"890396","7"
"890889","2"
"890938","16"
"891018","11"
"892469","6"
"893588","3"
"894047","0"
"896821","0"
"897740","1"
"900367","0"
"905029","3"
"905851","0"
"906210","2"
"906900","9"
"908448","0"
"910208","3"
"911946","0"
"915999","6"
"916061","2"
"916834","0"
"917857","0"
"920954","2"
"922231","0"
"923154","4"
"924081","22"
"926956","2"
"932339","11"
"933199","5"
"935010","4"
"940174","0"
"940529","0"
"944679","6"
"944745","3"
"948041","0"
"948507","-2"
"949064","10"
"949569","6"
"950662","4"
"955399","21"
"955632","2"
"957884","2"
"959916","9"
"962230","43"
"965186","1"
"965500","4"
"968666","1"
"970308","11"
"975618","0"
"976011","5"
"979910","5"
"982260","9"
"982416","0"
"983342","2"
"985074","2"
"985628","4"
"986468","3"
"990705","90"
"991434","5"
"992019","392"
"992997","4"
"995035","1"
"995372","3"
"998084","1"
"1001073","1"
"1005129","0"
"1008668","68"
"1012363","6"
"1012792","13"
"1013766","1"
"1017321","1"
"1018763","7"
"1019378","0"
"1019707","16"
"1022994","0"
"1029293","1"
"1035807","0"
"1037855","1"
"1038307","11"
"1043621","13"
"1045139","2"
"1052700","37"
"1053556","13"
"1054928","10"
"1056317","4"
"1056547","1"
"1058961","3"
"1062254","2"
"1062642","0"
"1062784","0"
"1063014","1"
"1066652","1"
"1067965","0"
"1068332","1"
"1073504","1"
"1074831","48"
"1075245","23"
"1077438","1"
"1080014","3"
"1086084","14"
"1088000","5"
"1088041","2"
"1088119","0"
"1088170","0"
"1088726","2"
"1092817","4"
