id,score
"43199","5"
"78869","40"
"84680","29"
"93911","36"
"96945","3"
"102778","2"
"123902","16"
"126798","3"
"140113","1"
"143523","2"
"150167","61"
"161160","2"
"163113","6"
"182133","1"
"183830","3"
"190376","6"
"221149","0"
"232839","2"
"267738","3"
"271031","3"
"271518","3"
"288289","2"
"292362","4"
"295436","2"
"300334","8"
"304268","516"
"308609","2"
"309202","6"
"320355","3"
"325637","2"
"338578","16"
"339004","14"
"339531","4"
"340820","6"
"346225","6"
"353010","11"
"361231","6"
"363329","1"
"372268","6"
"373518","9"
"376561","33"
"385907","3"
"390150","74"
"411331","48"
"415953","1014"
"427046","4"
"430755","16"
"437375","8"
"472739","1"
"473566","1"
"480895","7"
"496651","129"
"520255","1"
"537596","17"
"545082","6"
"545667","30"
"561938","2"
"565531","1"
"567482","5"
"568227","3"
"570450","10"
"580686","4"
"592403","5"
"610896","0"
"622732","17"
"683885","0"
"684081","28"
"687291","1"
"705728","16"
"719556","2"
"719747","0"
"723129","3"
"723886","12"
"729195","0"
"759722","2"
"770969","0"
"785973","310"
"800172","2"
"808988","1"
"810493","64"
"811590","1"
"812275","0"
"820261","3"
"829522","7"
"834932","0"
"836007","3"
"836281","1"
"839051","0"
"839213","0"
"841446","1"
"842222","0"
"846957","4"
"848205","1"
"848734","10"
"851093","0"
"853332","8"
"859111","165"
"862571","2"
"865460","1"
"867751","13"
"868776","7"
"869255","1"
"874903","3"
"875467","116"
"885005","1"
"889406","7"
"890935","135"
"901251","5"
"904346","3"
"906402","233"
"908748","41"
"909979","0"
"920809","3"
"924968","2"
"925377","15"
"934474","-1"
"937412","2"
"948933","0"
"949190","1"
"950885","7"
"951477","5"
"955624","16"
"956657","2"
"964547","0"
"967194","1"
"968565","44"
"975054","0"
"977321","2"
"995514","101"
"997304","0"
"1000347","-1"
"1003365","4"
"1009766","1"
"1010356","2"
"1012363","6"
"1013720","0"
"1016372","4"
"1019837","0"
"1028388","1"
"1031558","5"
"1032721","37"
"1037009","5"
"1037590","21"
"1045895","10"
"1051953","3"
"1057041","1"
"1061171","1"
"1068271","4"
"1069142","0"
"1075128","17"
"1093202","1"
"1105913","1"
"1130904","2"
"1139447","0"
"1175074","2"
"1175352","4"
"1187949","14"
"1199802","1"
"1200091","3"
"1202535","1"
"1202910","4"
"1205135","152"
"1216213","4"
"1217046","0"
"1225633","16"
"1226083","11"
"1227478","2"
"1233206","4"
"1234598","0"
"1236481","1"
"1238628","4"
"1255083","0"
"1258404","0"
"1269359","2"
"1269735","1"
"1270703","42"
"1283982","0"
"1284771","11"
"1291978","10"
"1301297","5"
"1303220","5"
"1305243","0"
"1315833","5"
"1354803","13"
"1362115","0"
"1365187","7"
"1374170","26"
"1376674","2"
"1384968","41"
"1386978","1"
"1391643","2"
"1396375","0"
"1398556","2"
"1400023","0"
"1401248","4"
"1405872","2"
"1413184","9"
"1418846","0"
"1422977","15"
"1423520","1"
"1423741","2"
"1433336","0"
"1440030","16"
"1441548","1"
"1454021","16"
"1455037","39"
"1455856","8"
"1473604","-1"
"1473997","5"
"1476963","0"
"1488404","3"
"1492043","1"
"1492762","2"
"1497297","10"
"1497322","8"
"1498108","2"
"1502465","1"
"1503241","1"
"1508314","6"
"1511674","30"
"1524107","3"
"1531740","8"
"1540007","2"
"1541585","2"
"1552330","3"
"1554970","2"
"1555476","2"
"1564446","0"
"1572813","4"
"1577081","0"
"1580012","14"
"1581759","2"
"1582115","1"
"1582537","1"
"1589164","1"
"1589216","0"
"1589996","3"
"1593253","4"
"1599012","0"
"1612191","0"
"1613212","22"
"1615871","42"
"1622492","0"
"1623924","2"
"1624137","4"
"1626549","61"
"1644059","5"
"1645747","0"
"1647759","18"
