id,favorite
"1606093","2"
"1619117",""
"1623958","1"
"1629075",""
"1631406",""
"1631739",""
"1646274","11"
"1647568",""
"1650780",""
"1652127",""
"1666415","8"
"1666533",""
"1675229","1"
"1677594",""
"1679296","1"
"1679844",""
"1682831",""
"1684534","1"
"1688626",""
"1689570",""
"1692346","1"
"1695014","3"
"1702415",""
"1704264","2"
"1706158",""
"1706613","11"
"1720743","1"
"1721078",""
"1722908","1"
"1725263",""
"1726406",""
"1728376","27"
"1729051","7"
"1732182","1"
"1736161","2"
"1741160","8"
"1745440",""
"1745743","18"
"1747179",""
"1748500","2"
"1750716","1"
"1757341","2"
"1757618","1"
"1761744","28"
"1772133",""
"1776434","6"
"1778778","0"
"1783137","22"
"1787288","6"
"1795970","3"
"1800922","3"
"1802264",""
"1804163","2"
"1814053","0"
"1815620",""
"1823368",""
"1824796","0"
"1825186",""
"1836223","1"
"1840720","0"
"1843218",""
"1844778",""
"1848160",""
"1848593","0"
"1853945",""
"1854806","0"
"1856989",""
"1859473",""
"1862541",""
"1866460","1"
"1867355",""
"1867445",""
"1872592",""
"1875052","8"
"1878283",""
"1892347",""
"1892958",""
"1893405",""
"1899259",""
"1902453",""
"1903194",""
"1905171",""
"1906027",""
"1906977","3"
"1911382","7"
"1913894","1"
"1923435","15"
"1925104","14"
"1927246",""
"1930005","3"
"1932200",""
"1949640","3"
"1954971","4"
"1962852","3"
"1973031",""
"1975793","3"
"1977022",""
"1990366",""
"1994071","3"
"1994112","2"
"1994117",""
"1994182","1"
"1995639",""
"1999961","1"
"2000431","1"
"2000875","1"
"2003776","3"
"2008173","39"
"2019780","1"
"2022009",""
"2023549","4"
"2033814",""
"2043595","2"
"2048098","12"
"2052213","15"
"2055258","1"
"2055423",""
"2065218","1"
"2069217",""
"2075469",""
"2076507","1"
"2079366","2"
"2082262","2"
"2082474",""
"2084407","1"
"2086288","1"
"2087182","1"
"2087920","0"
"2095227","0"
"2095430",""
"2096905",""
"2100699",""
"2104520",""
"2107162",""
"2108969",""
"2112274","1"
"2112436","2"
"2119920","1"
"2121867",""
"2124165",""
"2124746",""
"2125724","1"
"2130043",""
"2131843","2"
"2134553",""
"2140713",""
"2141808","2"
"2142475","1"
"2145121",""
"2145780",""
"2146383","27"
"2149980",""
"2150048",""
"2151580","1"
"2155509","0"
"2160158",""
"2161198",""
"2161246","1"
"2175651","0"
"2188334",""
"2189408",""
"2192584","2"
"2193181","1"
"2193362","2"
"2195747","15"
"2199413","1"
"2203320","23"
"2206586","1"
"2214843",""
"2220664",""
"2221191","6"
"2221730","3"
"2222040",""
"2225047","3"
"2229155",""
"2229827","2"
"2231249",""
"2238128",""
"2241013","4"
"2244608",""
"2252907","1"
"2253163",""
"2254673","2"
"2255721",""
"2258257",""
"2258781","1"
"2258808",""
"2260799",""
"2262724","1"
"2262852","1"
"2264193","1"
"2264669","1"
"2264833",""
"2270648",""
"2270881","1"
"2271875","2"
"2282123",""
"2282924","19"
"2284901",""
"2285976","2"
"2291110","2"
"2291176","3"
"2300952","1"
"2304712",""
"2305353",""
"2306984","1"
"2310203","0"
"2311492","3"
"2313573","10"
"2313849",""
"2314405",""
"2321816",""
"2323471","4"
"2325345","1"
"2326594","1"
"2327931","1"
"2328265","1"
"2329204",""
"2333196",""
"2336008",""
"2336423",""
"2337559","0"
"2339030",""
"2339735","16"
"2341486","1"
"2344214",""
"2346451",""
"2347230",""
"2349956",""
"2357750","2"
"2358244","5"
"2359272","3"
"2360325",""
"2360861","2"
"2363105","4"
"2363225",""
"2366636","3"
"2374331","2"
"2374697","1"
"2375541","10"
"2377062",""
"2390742","0"
"2396570",""
"2399886",""
"2401397","0"
"2402694","0"
"2404610","4"
"2408027","0"
"2410559","0"
"2414569",""
"2415310","2"
"2422220","2"
"2428259",""
"2433602","0"
"2435283","8"
"2435850","1"
"2437492",""
"2445952","1"
"2451446",""
"2451747",""
"2452488",""
"2452744","1"
"2458582","3"
"2460911","3"
"2466401","14"
"2467817",""
"2468956","1"
"2474310",""
"2485445",""
"2490334","60"
"2494450","4"
"2495283","1"
"2498009",""
"2509205","1"
"2510311","1"
"2510716","3"
"2511126","1"
"2512428","1"
"2513279",""
"2519145",""
"2522754",""
"2524796",""
"2526110","3"
"2531658",""
"2532983","5"
"2533262",""
"2536271",""
"2541742","4"
"2547262","4"
"2556015","2"
"2556533","3"
"2558970","5"
"2560022","5"
"2561472","2"
"2563978","6"
"2564312","1"
"2567738","2"
"2567893",""
"2569360","0"
"2571450","2"
"2572099","21"
"2582079","1"
"2597863",""
"2602656",""
"2606707","0"
"2610677",""
"2612807",""
"2625344","1"
"2626084",""
"2626792","2"
"2629889","1"
"2630011","0"
"2632699",""
"2641720","2"
"2642451","1"
"2645663","1"
"2647158","32"
"2650073",""
"2650189","1"
"2654144","1"
"2654397","2"
"2664568",""
"2669147",""
"2670346",""
"2674479","5"
"2676747",""
"2691947",""
"2699338","1"
"2700177",""
"2701373","10"
"2715368","2"
"2716892",""
"2718648","8"
"2718716","1"
"2722346","2"
"2724885","0"
"2725310",""
"2726003",""
"2727537","1"
"2728481",""
