id,favorite
"17817","3"
"29680","1"
"33104",""
"38838","5"
"39983","1"
"45097",""
"49158","9"
"51283","17"
"52344","1"
"52646","9"
"61760",""
"75980","570"
"81410","1"
"86477","23"
"86513","136"
"95213","26"
"114148",""
"116682",""
"119818",""
"120189","1"
"121490","1"
"128028","5"
"141427","1"
"142573",""
"153039","1"
"155751",""
"162159","93"
"176255",""
"179355","79"
"184028",""
"185149",""
"195509",""
"198974","7"
"205468",""
"223097","10"
"240362","0"
"250932","0"
"268320","4"
"271031","2"
"272342","10"
"278122","4"
"278651","1"
"283774","3"
"286824",""
"288287",""
"291665","1"
"292362","1"
"295566","56"
"308501","2"
"316390","5"
"319113","1"
"333532","10"
"334259","3"
"335019","4"
"338563",""
"339732",""
"343111",""
"355043","12"
"381042","8"
"395045","14"
"395592","38"
"399572","2"
"406415",""
"429005","11"
"433558",""
"438886","1"
"443430","10"
"447537","5"
"452415","2"
"454813",""
"467885","1"
"467897",""
"468089",""
"470531","1"
"472552",""
"475840",""
"476821","2"
"477053",""
"479499","2"
"482213",""
"484261","9"
"491914","23"
"496152",""
"503469","2"
"505235",""
"507591","1"
"512825","1"
"514688",""
"516127","1"
"522064","10"
"526391",""
"534051","1"
"540496",""
"553485","1"
"559600","4"
"561039","4"
"572107",""
"579661",""
"581730","3"
"593419","1"
"593593","3"
"594443",""
"595228","26"
"597028","7"
"608453",""
"615144",""
"625768",""
"631671","1"
"633445","2"
"641713","1"
"647696","4"
"651466","1"
"651590","1"
"651713","1"
"651819",""
"671042","6"
"675392","4"
"681530",""
"682260","21"
"686455","3"
"688196","38"
"688686",""
"690730",""
"691276","2"
"701580","6"
"713600",""
"718611","7"
"721446","8"
"723886","4"
"724950","5"
"733463",""
"734561","2"
"739850","5"
"746347","7"
"747641","71"
"754633",""
"754761","8"
"756800",""
"768268","42"
"770830","0"
"774627","1"
"779959","3"
"793812","57"
"798785","2"
"801506","1"
"805887","3"
"808748",""
"808816","21"
"810043","6"
"821375",""
"824040","3"
"834988",""
"839983",""
"841984",""
"844719","1"
"846797","1"
"856047",""
"858773","4"
"859306",""
"860246","1"
"863323","1"
"877727",""
"877916","2"
"884209","1"
"885909","2"
"897157",""
"900115",""
"904442","1"
"906900","3"
"908283",""
"921486",""
"923948",""
"926137","30"
"942518",""
"945015","9"
