id,favorite
"549","6607"
"3027","3"
"3486",""
"4004","17"
"18943","6"
"19471",""
"22519",""
"28369","1"
"29175",""
"29357",""
"30946","5"
"38421","9"
"42115","1"
"46693","1"
"50142","10"
"55845","1"
"56709","1"
"58621","7"
"61622","1"
"66870","5"
"69309",""
"69627",""
"76359","1"
"87694","3"
"95297","2"
"96382","2"
"101362","16"
"101427",""
"102496","3"
"111451",""
"114052",""
"117352","1"
"118374","6"
"118910","3"
"121123","3"
"121493",""
"123976","3"
"129629","1"
"131017","3"
"132113","1"
"132134","5"
"133393","7"
"133546","3"
"138432","1"
"144324",""
"153329",""
"166340","25"
"166508",""
"167917","3"
"169334",""
"174131","1"
"174225","7"
"174348","78"
"177560",""
"182258","7"
"186789","5"
"186932","0"
"190461","2"
"190771","6"
"194869","1"
"195509",""
"196244","1"
"201505","1"
"205887",""
"206438","32"
"208007","9"
"209242","10"
"211263",""
"211895","27"
"215302","2"
"215498",""
"221040","1"
"223395","2"
"224049","5"
"229596","9"
"230321","8"
"230994",""
"232228","6"
"237816","6"
"239194","10"
"239262","5"
"240713","9"
"243426",""
"243744",""
"245600","2"
"252974",""
"253545","1"
"259897","1"
"260236","10"
"260327",""
"265180",""
"265579","6"
"273452","73"
"274533","2"
"274659","13"
"275444","6"
"277044","36"
"277100","1"
"278651","1"
"281068","1"
"281618","4"
"282762","1"
"288287",""
"290236",""
"291294","2"
"292967",""
"295825","1"
"297850","2"
"300268",""
"300334","4"
"301855",""
"302914","16"
"302936",""
"304086",""
"304284","1"
"307495","5"
"307722",""
"308609","4"
"311064","10"
"311389",""
"313859","3"
"318069","1"
"320923","5"
"322262",""
"323245",""
"324904",""
"327499",""
"339180","1"
"341966","1"
"342409","65"
"343366",""
"347088",""
"348589",""
"350177",""
"350299","8"
"352172","1"
"354068","1"
"355418","1"
"357567",""
"358967","2"
"359342","39"
"360625","1"
"365309","25"
"369291","3"
"369312","2"
"372268","5"
"372383","4"
"372980","23"
"379319",""
"379445",""
"386386",""
"387104","3"
"388985",""
"392928","13"
"393882","5"
"395652",""
"401656","626"
"402936","3"
"406179","1"
"408431","4"
"410150","1"
"412753","3"
"414034","9"
"415310",""
"419288",""
"419563","2"
"426463","0"
"427821",""
"429352","2"
"429998","1"
"432291","7"
"435912","2"
"441777","2"
"442898",""
"442923","25"
"447638","9"
"447785",""
"449497","6"
"449650","4"
"452664","6"
"455220",""
"456546","1"
"457307",""
"457727","1"
"461800","7"
"463768","2"
"471800","7"
"474698",""
"476576","1"
"477053",""
"483018","4"
"488804","8"
"494211","3"
"502001",""
"506939","1"
"513056","5"
"516438",""
"518548","2"
"520266","8"
"522967","24"
"525734","1"
"527973","0"
"528938","1"
"533200","2"
"536328","1"
"538435","26"
"540738",""
"544463","32"
"545172","3"
"545179","1"
"545294","2"
"550908",""
"551480","1"
"552681","2"
"556194","14"
"563805",""
"568995","19"
"570755","3"
"585358","2"
"590375",""
"591794","2"
"593952","4"
"595114","3"
"599535","10"
"601300","28"
"601995","3"
"602625",""
"604210","9"
"604792","2"
"606324","2"
"613962","25"
"615704","36"
"623299",""
"624012","1"
"626303","2"
"630670",""
"631661",""
"636912",""
"637727",""
"639051","3"
"639217","7"
"639845",""
"641545",""
"643355","32"
"646086","25"
"651713","1"
"652851","2"
"654239","1"
"655691",""
"656787",""
"659197","11"
"659737",""
"659970","68"
"660175",""
"661185","1"
"661426","1"
"661534",""
"661599","33"
"661819","2"
"663890","5"
"675119",""
"681530",""
"681991","1"
"682306",""
"683568",""
"690566","4"
"691223",""
"696472","16"
"696483",""
"696741",""
"701078","7"
"703963","2"
"708096",""
"710834",""
"711018",""
"712339","17"
"715096",""
"715264",""
"721446","8"
"723129",""
"723653","38"
"724195",""
"724950","5"
"728143","18"
"728531","5"
"728706",""
"732991",""
"733435",""
"733463",""
"734887",""
"740679","1"
"742089",""
"743939","26"
"744050","1"
"745083","1"
"748622","8"
"750919","1"
"752770","1"
"754118",""
"755994",""
"756492","54"
"763572","2"
"764565","7"
"764833",""
"767978",""
"770195",""
"770635","8"
"772858","6"
"774925","4"
"776579","3"
"778476","0"
"781312",""
"784848",""
"785182",""
"789599",""
"790232","10"
"791694","0"
"793932",""
"795717","3"
"795888","1"
"796934",""
"799932","5"
"800685","72"
"802459",""
"804155",""
"804969","4"
"806131","20"
"808748",""
"820334",""
"823746","13"
"824215",""
"826323",""
"827016","1"
"828172","14"
"829838","15"
"830074","9"
"834932",""
"835124",""
"839280",""
"840537","52"
"845344","2"
"848788","2"
"852297",""
"855302",""
"855394","3"
"858232","2"
"861221",""
"861911","1"
"869089","0"
"870019","8"
"870648",""
"871332",""
"872929","1"
"874634","5"
"876557","1"
"877562",""
"878520","1"
"881734","2"
"884207","1"
"885439",""
"886893","4"
"893959","19"
"895739","14"
"897157",""
"897293",""
"898175",""
"898683","5"
"903650",""
"904346","3"
"904760","2"
"912761","1"
"914509","1"
"918408",""
"919983","2"
"920542",""
"925086","1"
"926137","30"
"929433","1"
"932910",""
"933883","9"
"934171",""
"934213","1"
"936253",""
"938897",""
"938920",""
"939040","10"
"941837","0"
"944162",""
"946019","3"
"949727","14"
"951487","1"
"955975",""
"956639","1"
"964261","0"
"967497","3"
"968064","1"
"970569",""
"977007",""
"978350","6"
"980720","1"
"981704",""
"982682","8"
"983896","1"
"983964","7"
"984633","5"
"985074",""
"992408","2"
"992704",""
"995501",""
"1002952","11"
"1003960",""
"1006120",""
"1006674","3"
"1006841","2"
"1007066",""
"1007308",""
"1007337","15"
"1013200",""
"1014593","7"
"1019707","11"
"1021909",""
"1024073","2"
"1024730",""
"1026855","8"
"1027138","1"
"1027693",""
"1029293",""
"1033766",""
"1037250","1"
"1038904",""
"1040465",""
"1040724","2"
"1042692",""
"1043271","1"
"1048439","1"
"1048549",""
"1050729","2"
"1052184","1"
"1056190",""
"1057501",""
"1057871",""
"1058071","1"
"1058680",""
"1061134","2"
"1062589",""
"1064203","2"
"1066976","1"
"1070486",""
"1070835",""
"1072497",""
"1072540","7"
"1074542",""
"1077466","0"
"1078397","2"
"1079131","2"
"1081976","1"
"1082386",""
"1084410",""
"1089896","1"
"1090615",""
"1091106",""
"1093532","3"
"1096400","1"
"1098452","3"
"1099547",""
"1103203","1"
"1103262","1"
"1105818","1"
"1111517","1"
"1113405",""
"1114103",""
"1115832",""
"1116101",""
"1123138",""
"1126684","3"
"1128789","1"
"1128950","0"
"1130296","6"
"1137830",""
"1139021",""
"1139137","0"
"1139489","1"
"1139622","3"
"1145164",""
"1149191",""
"1149932",""
"1152872","2"
"1160924","5"
"1161157","3"
"1163985","1"
"1168552",""
"1170738","4"
"1171207","2"
"1177285",""
"1182584","20"
"1186251",""
"1188732","0"
"1191822","6"
"1192485","6"
"1193578",""
"1196418","6"
"1197888","0"
"1198080",""
"1198900",""
"1201048","32"
"1203046",""
"1203120",""
"1213224","0"
"1215556",""
"1215570",""
"1218093","2"
"1219899","97"
"1226406","4"
"1231735",""
"1238023","0"
"1240851",""
"1243971","1"
"1249413",""
"1253994",""
"1255996","3"
"1257812","0"
"1262081","8"
"1262331",""
"1263750","1"
"1263976",""
"1274105","1"
"1275526",""
"1277276",""
"1278099","1"
"1278974","5"
"1280702","4"
"1281102","2"
"1282243","1"
"1283594","11"
"1286578","2"
"1287180","3"
"1287620","1"
"1289061","189"
"1293950","6"
"1298450",""
"1299845","1"
"1301980",""
"1305354",""
"1306823","5"
"1306942","6"
"1315604",""
"1320345","2"
"1323337","3"
"1324098",""
"1325378","3"
"1327690","1"
"1329285","3"
"1329730","2"
"1331792",""
"1334651","1"
"1338546",""
"1338972","1"
"1345691",""
"1346070","2"
"1350516","1"
"1354665","1"
"1356102","9"
"1357569","1"
"1362262",""
"1364262","1"
"1364487",""
"1366182","2"
"1372623",""
"1378463","2"
"1379907","1"
"1387193","2"
"1391692","8"
"1392074","1"
"1393514","2"
"1394616",""
"1394916",""
"1395260",""
"1396688","1"
"1402696","6"
"1404381","1"
"1405637","0"
"1408492",""
"1412193","2"
"1418846","3"
"1419800","13"
"1422154",""
"1424205","2"
"1426984","1"
"1427908",""
"1428341",""
"1430095",""
"1432664","19"
"1436383",""
"1442330",""
"1442538",""
"1443411",""
"1446285",""
"1448455","25"
"1451067",""
"1452527","1"
"1453073","46"
"1461272","1"
"1462284","3"
"1463182",""
"1465638","0"
"1466011","1"
"1468943",""
"1469899","625"
"1471654","1"
"1472404",""
"1476891","3"
"1478887",""
"1480750",""
"1481940",""
"1483595","4"
"1485419","5"
"1486673",""
"1487738","0"
"1492878","6"
"1496549","1"
"1497311","2"
"1498306",""
"1499283","1"
"1503947","1"
"1504097",""
"1508431","2"
"1508705",""
"1515823","2"
"1521189","8"
"1522127",""
"1528012","3"
"1530797",""
"1534489","2"
"1536035",""
"1537478",""
"1539263",""
"1540801",""
"1543753","3"
"1549442","2"
"1550947","0"
"1551070","1"
"1551463","3"
"1552060",""
"1556554","4"
"1558287",""
"1558392","1"
"1559705",""
"1559892","8"
"1559915","5"
"1560875",""
"1562548","5"
"1563438","1"
"1566623",""
"1573468","5"
"1574958",""
"1575516","2"
"1577514","1"
"1580720",""
"1582738",""
"1586602","2"
"1588126",""
"1595013","15"
"1596723","1"
"1597727",""
"1598231","9"
"1602880",""
"1602901","18"
"1603801",""
"1606093","2"
"1606494",""
"1608703",""
"1617390","1"
"1619117",""
"1619418","3"
"1623230",""
"1623958","1"
"1629075",""
"1631406",""
"1633173",""
"1634425","11"
"1638434",""
"1642598","3"
"1645007","51"
"1646274","11"
"1650780",""
"1651442","1"
"1656426",""
"1657322",""
"1675229","1"
"1677195","1"
"1679296","1"
"1688484",""
"1688568","4"
"1688626",""
"1691229","2"
"1695014","3"
"1702415",""
"1704264","2"
"1705054",""
"1706613","11"
"1707062",""
"1721078",""
"1722908","1"
"1725263",""
"1726406",""
"1732182","1"
"1734469","2"
"1735374","5"
"1735572","1"
"1736161","2"
"1737199","1"
"1738715","1"
"1741160","8"
"1742214",""
"1745440",""
"1745743","18"
"1746438",""
"1747179",""
"1748500","2"
"1753726","2"
"1754004","1"
"1755743",""
"1757341","2"
"1757618","1"
"1760458",""
"1761155","1"
"1762588","1"
"1773775",""
"1778778","0"
"1783137","22"
"1786532","3"
"1794964",""
"1795492",""
"1795690","1"
"1795970","3"
"1798381","1"
"1800922","3"
"1802264",""
"1804163","2"
"1807046",""
"1809091","2"
"1809843","3"
"1811646",""
"1815620",""
"1821483",""
"1823368",""
"1824796","0"
"1829879",""
"1831478",""
"1836223","1"
"1843078",""
"1843218",""
"1843771",""
"1844778",""
"1845098",""
"1845981",""
"1846081",""
"1848593","0"
"1853945",""
"1854491","2"
"1856989",""
"1859473",""
"1862541",""
"1863130",""
"1867445",""
"1869947","2"
"1872592",""
"1877727",""
"1878283",""
"1892347",""
"1892886",""
"1893405",""
"1898695","1"
"1902453",""
"1903194",""
"1904231","1"
"1905171",""
"1906027",""
"1906691","1"
"1906927","4"
"1911382","7"
"1913894","1"
"1923046","0"
"1923435","15"
"1925104","14"
"1927246",""
"1927380","3"
"1928990","1"
"1930005","3"
"1937243",""
"1939289","2"
"1946720",""
"1948535",""
"1949640","3"
"1951487",""
"1952168",""
"1953954","16"
"1954971","4"
"1959448","3"
"1962852","3"
"1969375","1"
"1971657","1"
"1973031",""
"1973748",""
"1995639",""
"1997154",""
"1999961","1"
"2000431","1"
"2000875","1"
"2003776","3"
"2004080",""
"2006473",""
"2008173","39"
"2008519","5"
"2011862",""
"2017094","11"
"2021392","1"
"2022009",""
"2023549","4"
"2037072","2"
"2037162","1"
"2041072",""
"2043595","2"
"2045221","0"
"2050652",""
"2052213","15"
"2055258","1"
"2055423",""
"2057164","1"
"2064198",""
"2069217",""
"2073564","4"
"2074207",""
"2074932","4"
"2079336",""
"2079366","2"
"2082262","2"
"2086288","1"
"2087182","1"
"2093732",""
"2095419","3"
"2095430",""
"2096905",""
"2100433","2"
"2100632",""
"2103001",""
"2103621","2"
"2104520",""
"2104982","1"
"2107162",""
"2108047",""
"2108946",""
"2108969",""
"2109668","5"
"2112436","2"
"2112685","21"
"2114896","45"
"2116655",""
"2118302","1"
"2119920","1"
"2120655","3"
"2121867",""
"2128243","2"
"2130043",""
"2130267","3"
"2131522","3"
"2131843","2"
"2134553",""
"2140244","1"
"2140713",""
"2141808","2"
"2142475","1"
"2144101","1"
"2144468","1"
"2145121",""
"2145780",""
"2151580","1"
"2154976",""
"2155509","0"
"2155678","1"
"2159724","2"
"2161198",""
"2161246","1"
"2166532",""
"2173330",""
"2173465","0"
"2175651","0"
"2185421","1"
"2186130","2"
"2187322",""
"2188334",""
"2189408",""
"2190279",""
"2192354","1"
"2192584","2"
"2197689",""
"2200256","4"
"2203320","23"
"2203578","4"
"2206586","1"
"2206712","3"
"2214843",""
"2218228","5"
"2220664",""
"2221730","3"
"2222040",""
"2224165","3"
"2225047","3"
"2226883","5"
"2228860","6"
"2229155",""
"2230912","11"
"2238107","14"
"2243127","1"
"2252907","1"
"2252966","0"
"2253163",""
"2256305","43"
"2256950","2"
"2258781","1"
"2258808",""
"2260799",""
"2263018","1"
"2270648",""
"2271875","2"
"2275241","2"
"2275244","4"
"2276594","4"
"2280007",""
"2284901",""
"2287123",""
"2291110","2"
"2292760",""
"2296988","1"
"2300952","1"
"2308068","1"
"2311477",""
"2311492","3"
"2312145","2"
"2313849",""
"2321509",""
"2321816",""
"2325507",""
"2326594","1"
"2326968",""
"2327258","1"
"2327931","1"
"2329163",""
"2329197","12"
"2329204",""
"2329582","20"
"2330431",""
"2333196",""
"2333586","7"
"2336008",""
"2337559","0"
"2339030",""
"2342816","1"
"2344214",""
"2346451",""
"2347230",""
"2347964",""
"2349956",""
"2350559",""
"2351791",""
"2360325",""
"2360861","2"
"2363225",""
"2365954",""
"2369373","3"
"2374697","1"
"2375541","10"
"2377062",""
"2377881","16"
"2382358",""
"2386189","2"
"2389658",""
"2389919",""
"2390742","0"
"2395115","9"
"2396570",""
"2397822","67"
"2398037",""
"2399886",""
"2400469",""
"2404155","3"
"2404610","4"
"2407616",""
"2408027","0"
"2414569",""
"2415261","5"
"2415310","2"
"2416227","1"
"2427714","2"
"2428259",""
"2433602","0"
"2434154","4"
"2435850","1"
"2436020","2"
"2437492",""
"2438846",""
"2443166","2"
"2445217",""
"2447337","6"
"2448132",""
"2451446",""
"2451747",""
"2456954","21"
"2458087",""
"2458582","3"
"2460911","3"
"2463229",""
"2463687",""
"2464158",""
"2464914",""
"2467817",""
"2468956","1"
"2474802",""
"2475126",""
"2479348","17"
"2483630",""
"2485445",""
"2486406","1"
"2486887",""
"2489379","10"
"2489926","1"
"2498009",""
"2498978",""
"2504869","0"
"2507777",""
"2510311","1"
"2512026","2"
"2512428","1"
"2513279",""
"2519145",""
"2522754",""
"2524013",""
"2524182",""
"2524796",""
"2528622",""
"2532534",""
